skill_score,qualification_score,location_score,stipend_score,experience_score,skill_x_location,skill_squared,shortlisted
0.025,0.25,0.0,0.892,0.078,0.0,0.001,0
0.25,1.0,0.25,0.701,0.378,0.062,0.062,0
0.0,0.16,0.85,0.5,0.092,0.0,0.0,0
0.85,0.807,0.536,0.379,0.497,0.456,0.722,1
0.862,0.2,0.25,0.985,0.77,0.215,0.743,0
1.0,0.365,0.3,0.702,0.615,0.3,1.0,1
0.534,0.75,0.3,0.843,0.698,0.16,0.285,1
0.5,0.2,1.0,0.315,0.59,0.5,0.25,1
0.459,0.25,0.539,0.428,0.525,0.247,0.211,0
0.138,0.2,0.153,0.75,0.537,0.021,0.019,0
1.0,0.2,0.115,0.751,0.692,0.115,1.0,1
0.25,0.85,0.762,0.2,0.783,0.191,0.062,0
0.609,0.25,0.2,1.0,0.018,0.122,0.371,0
0.832,0.0,1.0,0.086,0.437,0.832,0.692,1
0.766,0.75,0.165,1.0,0.868,0.126,0.587,0
0.69,0.399,0.373,0.451,0.223,0.257,0.476,1
1.0,0.25,0.0,0.0,0.774,0.0,1.0,1
0.75,0.25,0.882,0.3,0.706,0.661,0.562,0
0.0,0.354,0.2,0.984,0.089,0.0,0.0,0
0.0,0.25,0.3,0.85,0.416,0.0,0.0,0
1.0,1.0,0.969,0.849,0.15,0.969,1.0,1
0.75,0.165,0.75,0.75,0.257,0.562,0.562,0
0.783,0.487,0.25,0.579,0.488,0.196,0.613,0
1.0,0.3,1.0,0.25,0.062,1.0,1.0,1
0.404,0.57,0.2,0.419,0.525,0.081,0.163,0
0.204,0.239,0.85,0.2,0.008,0.173,0.042,0
0.2,0.25,0.3,0.881,0.791,0.06,0.04,0
1.0,0.612,0.654,1.0,0.269,0.654,1.0,1
0.134,0.0,0.155,0.25,0.646,0.021,0.018,0
0.264,0.2,0.75,0.044,0.3,0.198,0.07,0
0.162,1.0,0.2,0.25,0.491,0.032,0.026,0
0.3,0.2,0.0,0.21,0.225,0.0,0.09,0
0.884,0.3,0.237,0.25,0.793,0.21,0.781,1
0.332,0.802,0.811,0.0,0.344,0.269,0.11,1
0.3,0.46,0.25,0.25,0.359,0.075,0.09,0
0.5,1.0,0.844,0.0,0.104,0.422,0.25,0
0.5,1.0,0.85,0.2,0.347,0.425,0.25,1
0.75,1.0,0.94,0.197,0.388,0.705,0.562,0
0.623,0.125,0.507,0.326,0.627,0.316,0.388,0
0.75,0.903,0.301,0.2,0.273,0.226,0.562,1
0.607,0.75,0.3,0.3,0.593,0.182,0.368,1
0.619,0.25,0.225,0.0,0.042,0.139,0.383,0
0.768,0.3,0.384,0.3,0.59,0.295,0.59,1
0.77,0.75,1.0,0.3,0.826,0.77,0.593,1
0.75,0.988,1.0,0.719,0.454,0.75,0.562,1
0.3,0.475,0.25,0.277,0.7,0.075,0.09,0
0.75,0.5,0.5,1.0,0.073,0.375,0.562,1
0.3,0.064,1.0,0.3,0.75,0.3,0.09,0
0.946,1.0,0.2,0.299,0.351,0.189,0.895,0
0.538,0.8,0.488,0.75,0.026,0.263,0.289,1
0.404,0.75,0.981,1.0,0.533,0.396,0.163,1
0.75,0.75,0.5,0.3,0.409,0.375,0.562,1
0.278,0.422,0.47,0.052,0.857,0.131,0.077,0
0.0,0.95,0.0,0.239,0.426,0.0,0.0,0
0.465,0.5,1.0,0.718,0.7,0.465,0.216,1
1.0,0.5,1.0,0.3,0.068,1.0,1.0,1
0.102,0.85,0.121,0.783,0.312,0.012,0.01,0
0.85,0.75,0.106,0.636,0.746,0.09,0.722,0
0.85,0.92,0.465,0.592,0.29,0.395,0.722,1
0.279,1.0,1.0,0.75,0.766,0.279,0.078,0
0.5,1.0,0.276,0.25,0.077,0.138,0.25,0
0.3,0.646,0.2,0.25,0.364,0.06,0.09,0
0.369,0.85,0.85,1.0,0.244,0.314,0.136,1
0.25,1.0,0.69,0.75,0.249,0.172,0.062,0
0.597,0.833,0.5,0.0,0.637,0.298,0.356,1
0.0,0.3,0.753,0.0,0.517,0.0,0.0,0
0.3,0.252,0.114,0.75,0.067,0.034,0.09,0
0.25,0.949,0.25,0.75,0.546,0.062,0.062,0
1.0,1.0,1.0,0.305,0.559,1.0,1.0,1
0.948,0.25,0.0,0.25,0.497,0.0,0.899,1
1.0,0.25,0.5,0.454,0.619,0.5,1.0,0
0.625,0.934,0.3,0.908,0.744,0.188,0.391,1
0.5,0.85,1.0,0.7,0.848,0.5,0.25,1
0.2,1.0,0.604,0.25,0.866,0.121,0.04,0
0.2,0.672,0.0,0.175,0.467,0.0,0.04,0
1.0,1.0,0.47,0.85,0.603,0.47,1.0,1
0.75,0.75,0.55,0.85,0.227,0.413,0.562,1
0.865,0.001,0.462,1.0,0.326,0.4,0.748,0
0.76,1.0,0.5,1.0,0.109,0.38,0.578,0
0.239,1.0,0.75,0.0,0.415,0.179,0.057,0
0.498,0.509,0.75,0.244,0.496,0.373,0.248,1
0.508,0.864,0.75,1.0,0.24,0.381,0.258,1
0.837,1.0,0.447,0.85,0.497,0.374,0.701,1
0.85,0.981,0.75,0.75,0.039,0.637,0.722,1
0.811,0.3,0.2,1.0,0.299,0.162,0.658,1
0.1,0.015,0.25,0.5,0.305,0.025,0.01,0
0.852,0.859,0.85,0.887,0.439,0.724,0.726,1
0.235,0.287,0.0,0.2,0.684,0.0,0.055,0
